arm,dataset,seq_len,pred_len,seed,status,val_mse,mse,mae,cut_freq,periods,exit_code,job_id,log_file
phase4_asx_individual_revin,weather,720,720,2026,ok,0.5967126,0.3100194036960602,0.3288920223712921,31,144,0,28338820,logs/AsySpecX_phase4/phase4_asx_individual_revin_weather_sl720_pl720_sd2026.log
phase4_asx_individual_revin,weather,720,96,2024,ok,0.3813918,0.14773397147655487,0.20042157173156738,31,144,0,28338809,logs/AsySpecX_phase4/phase4_asx_individual_revin_weather_sl720_pl96_sd2024.log
phase4_asx_individual_revin,weather,720,96,2025,ok,0.3816749,0.14806611835956573,0.20093192160129547,31,144,0,28338813,logs/AsySpecX_phase4/phase4_asx_individual_revin_weather_sl720_pl96_sd2025.log
phase4_asx_individual_revin,weather,720,96,2026,ok,0.3813596,0.14775338768959045,0.20051971077919006,31,144,0,28338817,logs/AsySpecX_phase4/phase4_asx_individual_revin_weather_sl720_pl96_sd2026.log
phase4_asx_period_multi,electricity,720,192,2024,ok,0.1273319,0.1515727937221527,0.24858592450618744,181,24+168,0,28338774,logs/AsySpecX_phase4/phase4_asx_period_multi_electricity_sl720_pl192_sd2024.log
phase4_asx_period_multi,electricity,720,192,2025,ok,0.1278046,0.1520444005727768,0.24930919706821442,181,24+168,0,28338778,logs/AsySpecX_phase4/phase4_asx_period_multi_electricity_sl720_pl192_sd2025.log
phase4_asx_period_multi,electricity,720,192,2026,ok,0.1281182,0.15232089161872864,0.24984906613826752,181,24+168,0,28338782,logs/AsySpecX_phase4/phase4_asx_period_multi_electricity_sl720_pl192_sd2026.log
phase4_asx_period_multi,electricity,720,336,2024,ok,0.1423885,0.1666792780160904,0.2638959586620331,181,24+168,0,28338775,logs/AsySpecX_phase4/phase4_asx_period_multi_electricity_sl720_pl336_sd2024.log
phase4_asx_period_multi,electricity,720,336,2025,ok,0.1427664,0.1671222299337387,0.2640010118484497,181,24+168,0,28338779,logs/AsySpecX_phase4/phase4_asx_period_multi_electricity_sl720_pl336_sd2025.log
phase4_asx_period_multi,electricity,720,336,2026,ok,0.1426651,0.16668222844600677,0.2639300525188446,181,24+168,0,28338783,logs/AsySpecX_phase4/phase4_asx_period_multi_electricity_sl720_pl336_sd2026.log
phase4_asx_period_multi,electricity,720,720,2024,ok,0.1744358,0.20420873165130615,0.29386523365974426,181,24+168,0,28338776,logs/AsySpecX_phase4/phase4_asx_period_multi_electricity_sl720_pl720_sd2024.log
phase4_asx_period_multi,electricity,720,720,2025,ok,0.1739698,0.20256029069423676,0.2927343547344208,181,24+168,0,28338780,logs/AsySpecX_phase4/phase4_asx_period_multi_electricity_sl720_pl720_sd2025.log
phase4_asx_period_multi,electricity,720,720,2026,ok,0.1745014,0.20389817655086517,0.29469653964042664,181,24+168,0,28338784,logs/AsySpecX_phase4/phase4_asx_period_multi_electricity_sl720_pl720_sd2026.log
phase4_asx_period_multi,electricity,720,96,2024,ok,0.1167483,0.1387719064950943,0.23894603550434113,181,24+168,0,28338773,logs/AsySpecX_phase4/phase4_asx_period_multi_electricity_sl720_pl96_sd2024.log
phase4_asx_period_multi,electricity,720,96,2025,ok,0.1168167,0.1388411670923233,0.23893390595912933,181,24+168,0,28338777,logs/AsySpecX_phase4/phase4_asx_period_multi_electricity_sl720_pl96_sd2025.log
