arm,dataset,seq_len,pred_len,seed,status,val_mse,mse,mae,cut_freq,periods,exit_code,job_id,log_file,val_mae,val_mae_seg0,val_mae_seg1,val_mae_seg2,val_mae_seg3,val_mse_seg0,val_mse_seg1,val_mse_seg2,val_mse_seg3
phase5_asx_individual,weather,720,192,2025,ok,0.4386339,0.19059331715106964,0.2427767664194107,31,144,0,28447812,logs/AsySpecX_phase5/phase5_asx_individual_weather_sl720_pl192_sd2025.log,0.3185737,0.2780976,0.37938,0.2994849,0.3173313,0.2037185,0.838289,0.2788252,0.4377498
phase5_asx_individual,weather,720,192,2026,ok,0.4387932,0.1906595230102539,0.24281363189220428,31,144,0,28447816,logs/AsySpecX_phase5/phase5_asx_individual_weather_sl720_pl192_sd2026.log,0.3186972,0.2784054,0.3794273,0.2995215,0.3174334,0.2040484,0.8383555,0.2788807,0.4375128
phase5_asx_individual,weather,720,336,2024,ok,0.5029659,0.24049758911132812,0.28208592534065247,31,144,0,28447809,logs/AsySpecX_phase5/phase5_asx_individual_weather_sl720_pl336_sd2024.log,0.361857,0.3381151,0.4251191,0.3307323,0.3534548,0.2731233,0.9316596,0.3093364,0.5003905
phase5_asx_individual,weather,720,336,2025,ok,0.5033673,0.24062591791152954,0.28217869997024536,31,144,0,28447813,logs/AsySpecX_phase5/phase5_asx_individual_weather_sl720_pl336_sd2025.log,0.3619417,0.3381405,0.4251935,0.3309132,0.3535126,0.2734164,0.9318765,0.3096196,0.5003346
phase5_asx_individual,weather,720,336,2026,ok,0.5035602,0.24058492481708527,0.2821459174156189,31,144,0,28447817,logs/AsySpecX_phase5/phase5_asx_individual_weather_sl720_pl336_sd2026.log,0.3619528,0.3381064,0.4252295,0.3310133,0.3534552,0.2732286,0.9319757,0.3098216,0.5003036
phase5_asx_individual,weather,720,720,2024,ok,0.5957592,0.3096759617328644,0.3318905234336853,31,144,0,28447810,logs/AsySpecX_phase5/phase5_asx_individual_weather_sl720_pl720_sd2024.log,0.4141043,0.4065219,0.4757029,0.3648186,0.4093699,0.4707913,0.9759311,0.357365,0.5803248
phase5_asx_individual,weather,720,720,2025,ok,0.5958335,0.30972111225128174,0.33194679021835327,31,144,0,28447814,logs/AsySpecX_phase5/phase5_asx_individual_weather_sl720_pl720_sd2025.log,0.4141438,0.406394,0.475894,0.3647489,0.4095342,0.4707403,0.9761979,0.3572151,0.5804803
phase5_asx_individual,weather,720,720,2026,ok,0.5957321,0.3096681237220764,0.3318565785884857,31,144,0,28447818,logs/AsySpecX_phase5/phase5_asx_individual_weather_sl720_pl720_sd2026.log,0.4139239,0.4062084,0.4755351,0.364751,0.4091969,0.4708158,0.9759408,0.3574151,0.5801794
phase5_asx_individual,weather,720,96,2024,ok,0.38208,0.14801184833049774,0.2021496593952179,31,144,0,28447807,logs/AsySpecX_phase5/phase5_asx_individual_weather_sl720_pl96_sd2024.log,0.2791278,0.2287172,0.3430361,0.2619122,0.2828487,0.1506759,0.7775195,0.2368521,0.3728914
phase5_asx_individual,weather,720,96,2025,ok,0.3823467,0.14835986495018005,0.202670618891716,31,144,0,28447811,logs/AsySpecX_phase5/phase5_asx_individual_weather_sl720_pl96_sd2025.log,0.2797162,0.2298991,0.3435763,0.2625775,0.2828144,0.151095,0.7773999,0.237191,0.3725891
phase5_asx_individual,weather,720,96,2026,ok,0.3819792,0.14803440868854523,0.2022281140089035,31,144,0,28447815,logs/AsySpecX_phase5/phase5_asx_individual_weather_sl720_pl96_sd2026.log,0.2792164,0.2288282,0.3431764,0.2622178,0.2826459,0.150673,0.7773232,0.2368945,0.3724146
phase5_asx_individual_period,electricity,720,192,2024,ok,0.1312407,0.15753169357776642,0.25590279698371887,181,24+168,0,28447892,logs/AsySpecX_phase5/phase5_asx_individual_period_electricity_sl720_pl192_sd2024.log,0.2294435,0.2152987,0.2196891,0.2393444,0.2434648,0.127129,0.1208776,0.1410879,0.1359894
phase5_asx_individual_period,electricity,720,192,2025,ok,0.1312009,0.15751923620700836,0.2558891773223877,181,24+168,0,28447896,logs/AsySpecX_phase5/phase5_asx_individual_period_electricity_sl720_pl192_sd2025.log,0.2294346,0.2152946,0.2196952,0.2393187,0.2434531,0.1271182,0.1209004,0.1410414,0.1359663
phase5_asx_individual_period,electricity,720,192,2026,ok,0.131233,0.1575303077697754,0.25591373443603516,181,24+168,0,28447900,logs/AsySpecX_phase5/phase5_asx_individual_period_electricity_sl720_pl192_sd2026.log,0.2294434,0.2152994,0.2196918,0.2393363,0.2434695,0.1271094,0.1208726,0.1410761,0.1359755
phase5_asx_individual_period,electricity,720,336,2024,ok,0.1459391,0.17195919156074524,0.27042752504348755,181,24+168,0,28447893,logs/AsySpecX_phase5/phase5_asx_individual_period_electricity_sl720_pl336_sd2024.log,0.2428103,0.2313154,0.2367126,0.2537702,0.2494629,0.1464916,0.1377222,0.1557201,0.1444841
phase5_asx_individual_period,electricity,720,336,2025,ok,0.1458849,0.17196816205978394,0.2704448699951172,181,24+168,0,28447897,logs/AsySpecX_phase5/phase5_asx_individual_period_electricity_sl720_pl336_sd2025.log,0.2428165,0.2313192,0.2367377,0.2537798,0.2494495,0.1464778,0.1377281,0.1557365,0.1444377
phase5_asx_individual_period,electricity,720,336,2026,ok,0.1458898,0.1719585359096527,0.27044618129730225,181,24+168,0,28447901,logs/AsySpecX_phase5/phase5_asx_individual_period_electricity_sl720_pl336_sd2026.log,0.2428323,0.2313273,0.2367605,0.2537806,0.249481,0.146476,0.1377602,0.1557339,0.1444648
phase5_asx_individual_period,electricity,720,720,2024,ok,0.1771063,0.20617207884788513,0.29890045523643494,181,24+168,0,28447894,logs/AsySpecX_phase5/phase5_asx_individual_period_electricity_sl720_pl720_sd2024.log,0.2685557,0.2788969,0.2578593,0.2730846,0.2643606,0.2089784,0.1609218,0.1753916,0.1639459
phase5_asx_individual_period,electricity,720,720,2025,ok,0.1771635,0.20621216297149658,0.2989007830619812,181,24+168,0,28447898,logs/AsySpecX_phase5/phase5_asx_individual_period_electricity_sl720_pl720_sd2025.log,0.2685254,0.2788995,0.2578075,0.2730492,0.2643237,0.2090185,0.1608743,0.1753587,0.1639103
phase5_asx_individual_period,electricity,720,720,2026,ok,0.1771416,0.20623630285263062,0.29889845848083496,181,24+168,0,28447902,logs/AsySpecX_phase5/phase5_asx_individual_period_electricity_sl720_pl720_sd2026.log,0.2685202,0.2788815,0.2577787,0.2731009,0.2642978,0.2090075,0.160817,0.1754487,0.1638948
phase5_asx_individual_period,electricity,720,96,2024,ok,0.1186958,0.14145955443382263,0.24263016879558563,181,24+168,0,28447891,logs/AsySpecX_phase5/phase5_asx_individual_period_electricity_sl720_pl96_sd2024.log,0.2180727,0.2072298,0.2070618,0.2245933,0.2334228,0.1156569,0.1089214,0.1268729,0.1237555
